,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
1968:04,3.319221003,#N/A,#N/A,#N/A,#N/A,3.280313922,3.190121285,2.669909421,2.060299766,2.32001897,3.507366096,4.246875425,3.96431721,3.899895983,3.599283658,3.280313922,3.120116822,2.787252931,2.689554139,2.2430777,#N/A,#N/A,#N/A,#N/A,#N/A,3.916230335,4.133896449,4.18072896,4.415896998,5.682663
1969:01,3.265038522,3.291906844,#N/A,#N/A,#N/A,3.090391738,2.966522042,2.836172137,2.545567098,2.039723916,3.916230335,3.507366096,4.246875425,3.96431721,3.899895983,3.090391738,2.820919457,3.016777119,2.732096409,2.370676672,#N/A,#N/A,#N/A,#N/A,#N/A,4.355162752,4.752306273,4.757869868,4.590054905,4.067212392
1969:02,3.23860521,3.23860521,3.265038522,#N/A,#N/A,3.740649431,3.038501569,2.810655912,2.737372579,2.421160486,4.355162752,3.916230335,3.507366096,4.246875425,3.96431721,3.740649431,2.984576897,3.15464459,2.889494878,2.603820351,#N/A,#N/A,#N/A,#N/A,#N/A,4.957023984,5.167431863,4.941963141,5.32650895,5.381250266
1969:03,6.449581254,3.212596429,3.212596429,3.23860521,#N/A,4.624588212,3.56631606,2.770147946,2.665227427,2.593074544,4.957023984,4.355162752,3.916230335,3.507366096,4.246875425,4.624588212,3.294834154,3.032020418,2.745485329,2.567621083,#N/A,#N/A,#N/A,#N/A,#N/A,5.61930205,5.727737176,5.618441013,6.100937055,5.81952176
1969:04,6.347268935,3.137017414,3.187002034,0,3.212596429,5.13641228,4.469630187,3.28995684,2.688108396,2.575858504,5.61930205,4.957023984,4.355162752,3.916230335,3.507366096,5.13641228,3.757503409,3.63903736,3.010867731,2.95038683,#N/A,#N/A,#N/A,#N/A,#N/A,4.499432065,4.505198894,4.890399246,4.850495491,5.093531986
1970:01,3.08857638,3.08857638,3.112608452,3.161812201,#N/A,4.797305489,5.146550461,4.484040474,3.119814058,2.584882537,4.499432065,5.61930205,4.957023984,4.355162752,3.916230335,4.797305489,5.104956653,4.214841653,3.332029309,2.747750576,#N/A,#N/A,#N/A,#N/A,#N/A,5.150785519,6.436665883,6.556972772,6.629523031,5.624088649
1970:02,6.199743701,3.064912537,3.064912537,3.08857638,#N/A,4.738978223,4.497206798,5.059609246,4.499254044,2.958436542,5.150785519,4.499432065,5.61930205,4.957023984,4.355162752,4.738978223,4.500582166,4.662325319,3.812479609,3.092401154,#N/A,#N/A,#N/A,#N/A,#N/A,4.204595301,4.288957908,4.575993572,4.214457849,5.899025283
1970:03,3.018656195,3.018656195,3.041608523,3.041608523,#N/A,5.306009684,5.175505477,4.83884253,5.113323241,4.430950828,4.204595301,5.150785519,4.499432065,5.61930205,4.957023984,5.306009684,5.038648049,4.548464008,4.286561349,3.80436324,#N/A,#N/A,#N/A,#N/A,#N/A,4.429337858,4.613915836,5.052625816,4.059444019,3.321556609
1970:04,4.3496425,2.996047652,2.996047652,3.018656195,3.018656195,3.981182177,4.394799061,4.773609985,4.550571016,5.026688312,4.429337858,4.204595301,5.150785519,4.499432065,5.61930205,3.981182177,4.355995986,4.447790201,3.760639852,4.188824921,#N/A,#N/A,#N/A,#N/A,#N/A,5.71176037,5.871291212,6.291445293,6.448411315,5.343799357
1971:01,4.138407856,3.701258226,4.485291622,2.973775226,#N/A,5.72225444,4.673782646,5.277145967,4.985656241,4.656152774,5.71176037,4.429337858,4.204595301,5.150785519,4.499432065,5.72225444,4.685671577,5.114317615,4.559525478,4.124535521,#N/A,#N/A,#N/A,#N/A,#N/A,5.260914576,5.405523617,5.890723971,5.481844936,6.20060668
1971:02,3.788289815,3.503319446,3.816087648,4.435562047,2.951831479,5.257087838,5.458951471,4.275650107,4.538376656,4.745392696,5.260914576,5.71176037,4.429337858,4.204595301,5.150785519,5.257087838,5.091002249,4.19264938,3.962737129,4.123820617,#N/A,#N/A,#N/A,#N/A,#N/A,4.12719919,3.980496999,4.417553027,4.838347233,5.453353026
1971:03,2.548544861,4.045735569,3.766341414,3.191625185,2.908901344,4.650512728,5.027271352,5.275860638,4.454826156,5.016724902,4.12719919,5.260914576,5.71176037,4.429337858,4.204595301,4.650512728,5.08644842,4.844402527,4.17200121,4.343042925,#N/A,#N/A,#N/A,#N/A,#N/A,3.297433359,2.496455714,2.849392383,2.835963612,4.101484619
1971:04,2.840732485,3.673233275,3.137017414,3.440547364,3.457895676,4.236068966,4.826363197,5.282116135,5.400138203,4.13599989,3.297433359,4.12719919,5.260914576,5.71176037,4.429337858,4.236068966,4.877205067,5.336588069,5.182452025,4.03514006,#N/A,#N/A,#N/A,#N/A,#N/A,1.488512532,1.666945636,1.542884044,1.290856332,3.341962087
1972:01,3.982446379,3.391926304,2.509463279,3.399131679,3.411208901,1.698554509,4.306398315,4.891474032,5.165383007,5.437596682,1.488512532,3.297433359,4.12719919,5.260914576,5.71176037,1.698554509,4.055841624,4.731388186,4.333269189,5.215646577,#N/A,#N/A,#N/A,#N/A,#N/A,6.192640209,5.156390764,5.751283166,5.552405722,6.583006608
1972:02,3.351665958,3.372860462,3.363407685,3.617028108,3.086410034,4.987704701,1.869245825,4.122125887,4.621128033,5.218296463,6.192640209,1.488512532,3.297433359,4.12719919,5.260914576,4.987704701,2.327804731,3.744108015,4.647710629,5.192789827,#N/A,#N/A,#N/A,#N/A,#N/A,2.092004626,1.818812704,1.557300388,1.87369279,2.460258851
1972:03,3.624590965,3.323817488,3.344660186,3.335364586,2.748980782,2.898812083,4.405214279,2.007958693,3.78562876,4.65575898,2.092004626,6.192640209,1.488512532,3.297433359,4.12719919,2.898812083,4.315990944,2.451158634,3.406616917,4.683924488,#N/A,#N/A,#N/A,#N/A,#N/A,2.173109215,2.39506859,2.776396888,3.348967302,3.675805303
1972:04,3.043712417,3.452126601,3.296427945,3.597013917,3.587089643,2.093572425,2.316046084,3.110344429,2.120684169,3.890843106,2.173109215,2.092004626,6.192640209,1.488512532,3.297433359,2.093572425,2.21974381,2.948340891,1.31892864,3.540649332,#N/A,#N/A,#N/A,#N/A,#N/A,2.710052847,2.8055437,3.357202983,4.019886992,4.611678735
1973:01,4.700209577,4.135962984,3.700142437,3.82209748,3.843078907,3.166072509,2.947173132,3.272695681,3.910551161,2.212290904,2.710052847,2.173109215,2.092004626,6.192640209,1.488512532,3.166072509,2.917318749,3.124833465,4.11050071,1.925815879,#N/A,#N/A,#N/A,#N/A,#N/A,5.969359866,6.081250834,5.525321489,5.525321489,5.178578929
1973:02,4.629817412,3.538278462,3.265038522,3.528675186,3.102113931,3.930487681,2.672744894,2.4237459,2.674563762,4.231231411,5.969359866,2.710052847,2.173109215,2.092004626,6.192640209,3.930487681,2.895317791,2.604233799,1.905410626,5.125169049,#N/A,#N/A,#N/A,#N/A,#N/A,6.740435809,7.230793402,7.22785968,7.22785968,6.790402786
1973:03,4.477417305,4.303358072,3.780814423,3.511994283,3.770632614,4.180573199,3.44967805,2.672804326,2.415518261,2.8276286,6.740435809,5.969359866,2.710052847,2.173109215,2.092004626,4.180573199,3.587811419,2.392925867,2.182415646,2.288736252,#N/A,#N/A,#N/A,#N/A,#N/A,6.666699738,6.982624233,8.292831798,7.421135264,7.850078652
1973:04,6.334707616,4.958287362,3.449104391,3.745416386,3.888903752,6.387383228,4.776858217,3.263322594,2.729608126,2.347390152,6.666699738,6.740435809,5.969359866,2.710052847,2.173109215,6.387383228,5.108146797,3.591027101,2.596748476,2.313050218,#N/A,#N/A,#N/A,#N/A,#N/A,7.913298777,8.792453716,8.611623139,8.826360669,7.114603363
1974:01,7.813999315,5.970471681,3.982172354,3.953398026,3.979616607,7.288617453,6.075969586,5.260247406,4.19812983,2.817194265,7.913298777,6.666699738,6.740435809,5.969359866,2.710052847,7.288617453,5.733737515,4.915664879,5.053038233,2.685432681,#N/A,#N/A,#N/A,#N/A,#N/A,10.81176492,12.33939587,12.33939587,9.535910674,8.355195789
1974:02,8.112664872,6.617794197,5.621652576,3.942923483,3.386220707,10.34331437,7.150778288,5.815872499,5.95957323,3.900628029,10.81176492,7.913298777,6.666699738,6.740435809,5.969359866,10.34331437,7.139008692,6.286409834,5.778959046,4.793019324,#N/A,#N/A,#N/A,#N/A,#N/A,8.775677953,9.344725798,9.344725798,11.44833594,9.190685009
1974:03,8.390628301,6.678847454,5.998362167,5.030476073,3.521677201,10.23722996,10.58432978,6.894052292,5.57917111,5.323927254,8.775677953,10.81176492,7.913298777,6.666699738,6.740435809,10.23722996,10.18900331,7.286154634,6.317233063,5.641904323,#N/A,#N/A,#N/A,#N/A,#N/A,11.48091396,11.87908346,12.52234704,12.40798205,12.90256239
1974:04,10.6319419,8.093915035,6.320275408,4.907074146,4.841598707,10.93531006,9.728357872,10.62200449,6.695538743,5.369567373,11.48091396,8.775677953,10.81176492,7.913298777,6.666699738,10.93531006,10.66465724,10.13389729,6.906617497,5.605827155,#N/A,#N/A,#N/A,#N/A,#N/A,13.690989,14.44637501,13.34625248,12.68300934,12.68962627
1975:01,9.072097662,9.020148782,6.72039351,5.97745232,5.094533691,13.51908006,11.50344112,9.990844758,10.71695171,6.501101708,13.690989,11.48091396,8.775677953,10.81176492,7.913298777,13.51908006,11.48081628,8.984685426,9.770347425,6.655323301,#N/A,#N/A,#N/A,#N/A,#N/A,7.961448125,8.442146619,10.04977888,10.8057048,9.371746489
1975:02,6.318630197,8.402251001,7.878657112,7.085186699,3.503319446,12.16067842,14.5821511,11.61452104,9.950136475,10.79477178,7.961448125,13.690989,11.48091396,8.775677953,10.81176492,12.16067842,14.51386253,12.26093451,8.733391016,9.010304644,#N/A,#N/A,#N/A,#N/A,#N/A,5.151943333,5.086549766,4.485422181,5.742104688,5.923100458
1975:03,6.23077622,5.993370378,7.543935062,7.266782183,#N/A,6.850004599,11.05855666,15.57138272,11.91868471,10.02738738,5.151943333,7.961448125,13.690989,11.48091396,8.775677953,6.850004599,12.30099607,14.76469094,12.01807095,8.703106234,#N/A,#N/A,#N/A,#N/A,#N/A,5.035781217,7.142397279,6.965090765,7.311356865,7.256443542
1975:04,6.714847013,6.135234897,5.904917561,6.734989249,6.574993198,4.931065832,4.966745114,9.026823217,16.40703832,12.14690965,5.035781217,5.151943333,7.961448125,13.690989,11.48091396,4.931065832,7.168662054,8.625844718,15.7880966,12.09136996,#N/A,#N/A,#N/A,#N/A,#N/A,6.471984906,6.811515441,7.05023945,6.265443288,6.847308971
1976:01,5.690299354,5.940339932,5.382393336,5.3794985,6.29564071,5.567029802,4.842401915,3.986921885,12.04449258,17.43420162,6.471984906,5.035781217,5.151943333,7.961448125,13.690989,5.567029802,4.868542144,5.37299599,12.59689191,15.6883452,#N/A,#N/A,#N/A,#N/A,#N/A,3.719246143,3.165581612,4.073085676,3.919524827,4.455962888
1976:02,5.313433922,6.248151082,6.398016214,5.74476862,5.091832076,4.585125589,5.909736553,4.767328992,4.84137592,8.324276888,3.719246143,6.471984906,5.035781217,5.151943333,7.961448125,4.585125589,6.40960527,4.908316406,5.494830425,9.135423935,#N/A,#N/A,#N/A,#N/A,#N/A,4.727350759,5.179132523,4.952448841,4.708711661,4.046399881
1976:03,5.532916254,5.873992551,6.152080423,6.297320122,6.522498167,5.119045734,5.561803356,6.054507012,4.703763744,4.237175439,4.727350759,3.719246143,6.471984906,5.035781217,5.151943333,5.119045734,5.316203743,6.009854278,5.110931562,5.53427126,#N/A,#N/A,#N/A,#N/A,#N/A,4.39332944,4.417878437,4.564503004,4.530994004,5.198825135
1976:04,5.3109445,5.922098999,6.100489955,6.058918601,6.199743701,4.455058531,3.742914954,5.042622468,5.83059583,4.6499422,4.39332944,4.727350759,3.719246143,6.471984906,5.035781217,4.455058531,4.255875648,4.111105232,5.879598753,5.261796318,#N/A,#N/A,#N/A,#N/A,#N/A,6.225527593,5.764138773,5.446564607,5.709449284,6.970222597
1977:01,5.384002925,5.853234147,5.835721717,5.855430592,6.273810168,5.985868321,4.505277551,4.445541757,4.824088805,5.762942705,6.225527593,4.39332944,4.727350759,3.719246143,6.471984906,5.985868321,4.777363718,4.800631135,4.181369787,6.140214846,#N/A,#N/A,#N/A,#N/A,#N/A,5.790607148,5.29837868,5.984632078,6.035180288,6.628757612
1977:02,6.521251199,5.463038702,5.467073869,5.902497783,5.770972833,5.620514953,5.79334121,4.546132679,4.701788791,5.088993663,5.790607148,6.225527593,4.39332944,4.727350759,3.719246143,5.620514953,5.450317845,4.546382254,4.800891984,4.251575201,#N/A,#N/A,#N/A,#N/A,#N/A,6.62792062,7.122576085,7.676581782,7.673663409,6.469386401
1977:03,5.820918316,6.118481347,5.538066827,5.840035352,6.561216735,6.205782617,5.481065865,5.6386771,4.579369916,4.200711362,6.62792062,5.790607148,6.225527593,4.39332944,4.727350759,6.205782617,5.629811325,5.835077317,4.603014262,4.790642833,#N/A,#N/A,#N/A,#N/A,#N/A,5.147727596,4.846267345,5.14330788,4.803259693,5.623523039
1977:04,6.034983368,6.618892569,6.46695475,6.05019295,5.756017835,5.141710689,6.154130426,5.366739348,5.51442973,4.606409703,5.147727596,6.62792062,5.790607148,6.225527593,4.39332944,5.141710689,6.237081476,5.544143471,5.653568687,4.641492545,#N/A,#N/A,#N/A,#N/A,#N/A,6.191708907,5.852817565,5.531941293,6.380563297,6.851645245
1978:01,6.239293609,5.945307501,5.932713702,6.074964126,5.525731822,5.765426213,5.136815046,6.044053091,5.273009425,5.414617247,6.191708907,5.147727596,6.62792062,5.790607148,6.225527593,5.765426213,5.182007773,6.180062011,5.421449941,5.593259712,#N/A,#N/A,#N/A,#N/A,#N/A,7.090681105,7.201802736,6.321763747,6.321763747,6.711737719
1978:02,7.136364162,6.286326927,5.858257015,5.561973909,6.411388329,6.6088202,5.798290281,5.132831717,5.959910614,5.196165497,7.090681105,6.191708907,5.147727596,6.62792062,5.790607148,6.6088202,5.93581665,5.17568652,5.965930944,5.359404251,#N/A,#N/A,#N/A,#N/A,#N/A,10.02286261,10.99268695,10.65849427,10.65849427,8.227831243
1978:03,7.641690576,6.448475476,6.048510208,6.054750949,5.485712656,9.256106569,6.541439044,5.723503877,5.129590691,5.883067838,10.02286261,7.090681105,6.191708907,5.147727596,6.62792062,9.256106569,6.621618957,5.91512854,5.158291129,5.8541486,#N/A,#N/A,#N/A,#N/A,#N/A,7.004573248,6.895074914,7.187581581,7.698648757,7.251309592
1978:04,7.768665433,6.949336103,6.7612745,6.23545036,5.964491195,6.690357792,8.630513178,6.402030461,5.683757513,5.126953637,7.004573248,10.02286261,7.090681105,6.191708907,5.147727596,6.690357792,8.812367992,6.531315524,5.757143972,5.142000786,#N/A,#N/A,#N/A,#N/A,#N/A,8.127321681,8.14417546,8.669996749,9.799126125,8.141375042
1979:01,8.433205614,6.947147195,6.561694948,6.376773255,5.05220849,7.60646969,6.445903652,8.120093865,6.298087105,5.641969114,8.127321681,7.004573248,10.02286261,7.090681105,6.191708907,7.60646969,6.680047646,8.513691383,6.31505287,5.684176353,#N/A,#N/A,#N/A,#N/A,#N/A,8.69366997,9.346533444,9.346533444,8.422773284,7.679971256
1979:02,8.913747192,7.728483721,7.225291989,6.9854549,6.544523088,8.08566616,7.19617078,6.255722597,7.703644652,6.202889755,8.69366997,8.127321681,7.004573248,10.02286261,7.090681105,8.08566616,7.403073909,6.606749168,8.059475675,6.150040687,#N/A,#N/A,#N/A,#N/A,#N/A,9.847007244,9.256727558,9.256727558,7.82035559,10.01314312
