,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
1968:04,2.610280114,#N/A,#N/A,#N/A,#N/A,4.458931314,4.077611932,3.231615322,3.222823715,3.505227523,4.980954866,5.299220337,6.078512992,4.478054734,4.21735213,4.458931314,3.820760665,3.285711371,3.304483012,3.600787528,#N/A,#N/A,#N/A,#N/A,#N/A,3.873646446,3.469777994,3.237225833,2.778990939,1.583170641
1969:01,3.09107158,1.709610563,#N/A,#N/A,#N/A,3.972176139,4.193076933,3.871290385,2.665260018,2.95539664,3.873646446,4.980954866,5.299220337,6.078512992,4.478054734,3.972176139,2.888953129,2.562913764,2.641930958,3.36850888,#N/A,#N/A,#N/A,#N/A,#N/A,2.926910765,2.585588985,2.589227211,2.763709554,6.411117632
1969:02,3.01115722,2.352231294,2.235799614,#N/A,#N/A,3.628210759,4.019627366,4.057683518,3.76730442,2.783841073,2.926910765,3.873646446,4.980954866,5.299220337,6.078512992,3.628210759,2.939212034,2.797908561,3.047116157,2.934723026,#N/A,#N/A,#N/A,#N/A,#N/A,2.343650587,2.006346889,2.234238639,1.561599034,1.215952743
1969:03,1.039856124,2.94107639,3.313723821,4.331758935,#N/A,3.371657781,3.937156369,4.042479552,3.98873082,3.714895542,2.343650587,2.926910765,3.873646446,4.980954866,5.299220337,3.371657781,3.383351918,3.33656173,3.313574397,3.212712754,#N/A,#N/A,#N/A,#N/A,#N/A,2.05221077,2.164033481,2.670600116,2.00327671,2.66662953
1969:04,0.158724707,1.851640937,2.43872827,4.2332086,4.03700596,3.131608504,3.816454839,4.073257027,4.053485009,3.953614824,2.05221077,2.343650587,2.926910765,3.873646446,4.980954866,3.131608504,3.993797333,4.061818673,3.845473366,3.415458027,#N/A,#N/A,#N/A,#N/A,#N/A,-0.054738281,-0.43727729,-0.927118975,-1.421324953,-1.933004765
1970:01,0.720583304,0.285003473,1.40545851,1.532855238,#N/A,2.05749124,3.617613963,4.008909157,4.133213822,4.058785161,-0.054738281,2.05221077,2.343650587,2.926910765,3.873646446,2.05749124,3.864410072,4.42612695,4.301536302,3.900359731,#N/A,#N/A,#N/A,#N/A,#N/A,-1.580027508,-2.92940869,-2.9453858,-2.567645844,-0.588939616
1970:02,-0.632807785,0.294181768,0.551107959,2.445408432,#N/A,1.273115418,3.011299648,3.836440906,4.092180086,4.159626754,-1.580027508,-0.054738281,2.05221077,2.343650587,2.926910765,1.273115418,3.384535316,4.604669127,4.563300097,4.249661994,#N/A,#N/A,#N/A,#N/A,#N/A,0.276605879,0.609289937,0.724382358,1.563779347,0.568030544
1970:03,2.796326581,2.778281031,2.078911833,2.472851901,#N/A,2.033524553,2.522428266,3.442005909,3.934969081,4.128209663,0.276605879,-1.580027508,-0.054738281,2.05221077,2.343650587,2.033524553,2.949529445,4.21793683,4.651249017,4.437069442,#N/A,#N/A,#N/A,#N/A,#N/A,1.442417776,1.386653375,1.225953929,2.006067393,3.738529991
1970:04,-1.32854032,2.18971785,3.130338725,4.48890515,3.100373162,2.534317599,2.815772613,3.069468016,3.636497677,3.979331997,1.442417776,0.276605879,-1.580027508,-0.054738281,2.05221077,2.534317599,3.074324252,4.525583709,5.210675435,4.472471814,#N/A,#N/A,#N/A,#N/A,#N/A,-3.31245306,-3.847523978,-4.029979122,-4.755895594,-4.218103136
1971:01,7.010915863,5.871541225,3.147250296,3.290197365,#N/A,0.256393277,3.015800819,3.164059667,3.309001683,3.724323304,-3.31245306,1.442417776,0.276605879,-1.580027508,-0.054738281,0.256393277,3.197037277,5.19161007,5.190898232,4.834919167,#N/A,#N/A,#N/A,#N/A,#N/A,6.424379838,7.936401586,7.971519091,9.080080505,11.31111104
1971:02,4.662809665,4.637868747,4.502905068,3.61144651,4.262328489,4.766129508,1.880387229,3.228115252,3.319130516,3.413886891,6.424379838,-3.31245306,1.442417776,0.276605879,-1.580027508,4.766129508,2.395341101,4.22384276,4.467986446,4.711315159,#N/A,#N/A,#N/A,#N/A,#N/A,3.667307006,4.855053714,3.319680079,2.915301176,2.178023843
1971:03,6.28638459,2.885313818,1.504719489,2.931070547,4.611563202,3.575681383,4.075654418,2.619381321,3.321737244,3.388174049,3.667307006,6.424379838,-3.31245306,1.442417776,0.276605879,3.575681383,3.920311672,3.175618615,4.099611604,4.129721483,#N/A,#N/A,#N/A,#N/A,#N/A,2.846797355,2.690494369,2.516976826,3.558129491,3.334768779
1971:04,4.779436401,5.793674351,5.033934698,4.684198445,3.789519785,3.307341106,3.538475723,3.788149062,2.9556586,3.363020718,2.846797355,3.667307006,6.424379838,-3.31245306,1.442417776,3.307341106,3.546673797,5.643278065,4.886650012,3.843705907,#N/A,#N/A,#N/A,#N/A,#N/A,6.073969758,5.84837054,6.623060541,6.639295138,0.944521915
