,One year ahead,Two years ahead,Longer term (five years ahead),RW1y,RW2y,RW5y,RT data
2006 Q1,1.6,2.3,2.6,1.3482908,1.279287879,2.513033512,1.947627909
2006 Q2,1.7,2.2,2.5,1.109932034,1.96242505,1.666849687,2.427115873
2006 Q3,1.9,2.2,2.5,1.553163247,1.828110582,1.280779468,2.726861751
2006 Q4,2.2,2.1,2.5,1.709069509,1.611387334,0.604415754,3.280490482
2007 Q1,2,2,2.5,1.947627909,1.3482908,0.055592857,3.032750879
2007 Q2,2,2,2.4,2.427115873,1.109932034,0.567325168,2.521175273
2007 Q3,2.1,1.9,2.4,2.726861751,1.553163247,0.777232843,2.650166313
2007 Q4,2.2,1.8,2.4,3.280490482,1.709069509,1.280421379,2.21151364
2008 Q1,2.4,1.9,2.4,3.032750879,1.947627909,0.790072977,2.155408421
2008 Q2,2.1,2,2.4,2.521175273,2.427115873,0.404862991,1.402087025
2008 Q3,1.7,2.1,2.3,2.650166313,2.726861751,0.278452756,0.628519072
2008 Q4,1.4,2.3,2.3,2.21151364,3.280490482,0.593637951,-1.262123152
2009 Q1,0.9,2.2,2.3,2.155408421,3.032750879,1.279287879,-4.802090122
2009 Q2,0.1,2.2,2.2,1.402087025,2.521175273,1.96242505,-4.668270779
2009 Q3,-1.8,2.1,2.3,0.628519072,2.650166313,1.828110582,-4.058388332
2009 Q4,-2,1.9,2.2,-1.262123152,2.21151364,1.611387334,-2.106404421
2010 Q1,-0.4,1.7,2.1,-4.802090122,2.155408421,1.3482908,0.601030863
2010 Q2,1.2,1.2,2.1,-4.668270779,1.402087025,1.109932034,1.884201068
2010 Q3,1.2,0.9,2.1,-4.058388332,0.628519072,1.553163247,1.93042168
2010 Q4,1.4,0.9,2.1,-2.106404421,-1.262123152,1.709069509,2.021108881
2011 Q1,1.4,1.3,2.1,0.601030863,-4.802090122,1.947627909,2.46549367
2011 Q2,1.3,1.6,2,1.884201068,-4.668270779,2.427115873,1.600472895
2011 Q3,1.4,1.6,2.1,1.93042168,-4.058388332,2.726861751,1.369228601
2011 Q4,1.6,1.6,2.1,2.021108881,-2.106404421,3.280490482,0.712801734
2012 Q1,1.5,1.4,2.2,2.46549367,0.601030863,3.032750879,-0.050145858
2012 Q2,0.7,1.6,2.2,1.600472895,1.884201068,2.521175273,-0.458570178
2012 Q3,0.1,1.8,2.1,1.369228601,1.93042168,2.650166313,-0.605851446
2012 Q4,0.2,1.8,2.1,0.712801734,2.021108881,2.21151364,-0.888839463
2013 Q1,0.1,1.8,2.1,-0.050145858,2.46549367,2.155408421,-1.109378888
2013 Q2,0.1,1.5,2,-0.458570178,1.600472895,1.402087025,-0.451603951
2013 Q3,0.1,1.2,2,-0.605851446,1.369228601,0.628519072,-0.357864083
2013 Q4,0.4,1.2,1.9,-0.888839463,0.712801734,-1.262123152,0.529022089
2014 Q1,0.6,1.2,1.9,-1.109378888,-0.050145858,-4.802090122,0.896177432
2014 Q2,0.9,1.2,1.9,-0.451603951,-0.458570178,-4.668270779,0.656203163
2014 Q3,1.1,1.1,1.8,-0.357864083,-0.605851446,-4.058388332,0.784976803
2014 Q4,1.3,1.2,1.8,0.529022089,-0.888839463,-2.106404421,0.885771871
2015 Q1,1.3,1.2,1.8,0.896177432,-1.109378888,0.601030863,0.985322228
2015 Q2,1,1.5,1.8,0.656203163,-0.451603951,1.884201068,1.22154056
2015 Q3,1.2,1.5,1.9,0.784976803,-0.357864083,1.93042168,1.572319692
2015 Q4,1.7,1.6,1.9,0.885771871,0.529022089,2.021108881,1.580604894
2016 Q1,1.8,1.6,1.9,0.985322228,0.896177432,2.46549367,1.529212281
2016 Q2,1.7,1.5,1.8,1.22154056,0.656203163,1.600472895,1.62365996
2016 Q3,1.7,1.5,1.8,1.572319692,0.784976803,1.369228601,1.672815842
2016 Q4,1.6,1.8,1.8,1.580604894,0.885771871,0.712801734,1.685567231
