,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,Realiz1
1987:01,2.508399002,2.284068386,2.609267718,3.549871611,1.405953834,1.747446658,2.414078875,1.076558469,3.201371031,2.353006145,4.299107604
1987:02,2.268034616,2.876148058,2.762754796,3.029269406,3.463821524,4.299107604,1.747446658,2.414078875,1.076558469,3.201371031,2.590941621
1987:03,2.553063107,2.634798784,2.910076981,2.852542716,3.006502215,2.590941621,4.299107604,1.747446658,2.414078875,1.076558469,3.837650833
1987:04,2.31691289,2.910825608,3.212166488,3.159695759,3.699095619,3.837650833,2.590941621,4.299107604,1.747446658,2.414078875,4.150785558
1988:01,0.724540965,2.092526591,3.528532248,2.65026727,2.759190719,4.150785558,3.837650833,2.590941621,4.299107604,1.747446658,2.265963492
1988:02,2.323833102,0.619672818,0.828796399,1.92040195,2.792429195,2.265963492,4.150785558,3.837650833,2.590941621,4.299107604,3.088655344
1988:03,2.737137593,2.569572321,1.760475543,3.444811921,2.955657807,3.088655344,2.265963492,4.150785558,3.837650833,2.590941621,2.236727343
1988:04,2.620828909,2.922090261,3.380417741,3.00380535,2.371336655,2.236727343,3.088655344,2.265963492,4.150785558,3.837650833,1.990038789
1989:01,4.543016972,3.618636071,2.446675539,2.736444112,3.189461075,1.990038789,2.236727343,3.088655344,2.265963492,4.150785558,5.546384165
1989:02,1.475808302,2.077852708,2.931665093,3.134676271,1.906858898,5.546384165,1.990038789,2.236727343,3.088655344,2.265963492,1.675961713
1989:03,1.560946125,1.568982072,1.967960713,2.462332446,1.916996174,1.675961713,5.546384165,1.990038789,2.236727343,3.088655344,2.501039482
1989:04,1.110899208,1.946414962,1.170433779,1.073553884,1.071332056,2.501039482,1.675961713,5.546384165,1.990038789,2.236727343,0.500588659
1990:01,1.301893546,1.738040203,0.965011107,2.147312434,1.364170313,0.500588659,2.501039482,1.675961713,5.546384165,1.990038789,2.095762512
1990:02,1.649845297,1.926958963,1.585459469,1.54362802,1.209395467,2.095762512,0.500588659,2.501039482,1.675961713,5.546384165,1.219822777
1990:03,1.449076749,2.491495406,2.401430065,2.351570346,3.965919191,1.219822777,2.095762512,0.500588659,2.501039482,1.675961713,1.792873349
1990:04,-1.377588519,0.768119373,1.900635862,2.676396577,2.337827011,1.792873349,1.219822777,2.095762512,0.500588659,2.501039482,-2.131429859
1991:01,-1.876893029,-0.915210659,0.785869669,2.943423817,2.227798667,-2.131429859,1.792873349,1.219822777,2.095762512,0.500588659,-2.810920677
1991:02,-0.193845351,0.193939337,0.144656718,0.793922094,2.636393529,-2.810920677,-2.131429859,1.792873349,1.219822777,2.095762512,0.417713419
1991:03,2.740908347,1.856552394,1.656683004,1.307093105,2.444461105,0.417713419,-2.810920677,-2.131429859,1.792873349,1.219822777,2.370935152
1991:04,1.504882732,2.486766887,2.816024734,2.925209487,2.47156216,2.370935152,0.417713419,-2.810920677,-2.131429859,1.792873349,0.296460794
1992:01,0.609653862,2.172042011,2.842119209,3.021767306,3.212518603,0.296460794,2.370935152,0.417713419,-2.810920677,-2.131429859,1.978355502
1992:02,2.901087976,2.309579193,2.998945836,3.171687789,3.120852747,1.978355502,0.296460794,2.370935152,0.417713419,-2.810920677,1.385975012
1992:03,2.109356763,3.370376855,3.058874661,3.423920946,2.761413719,1.385975012,1.978355502,0.296460794,2.370935152,0.417713419,2.650421534
1992:04,1.885457613,2.410542834,3.09486456,3.224480025,2.672575118,2.650421534,1.385975012,1.978355502,0.296460794,2.370935152,3.790272211
1993:01,2.988869702,2.414665487,3.171223754,3.030241919,2.760138325,3.790272211,2.650421534,1.385975012,1.978355502,0.296460794,1.799303336
1993:02,2.675491528,2.942254772,2.838560985,2.315084381,3.129152449,1.799303336,3.790272211,2.650421534,1.385975012,1.978355502,1.577275689
1993:03,3.107590551,3.29378867,3.313108406,3.262981519,2.846682575,1.577275689,1.799303336,3.790272211,2.650421534,1.385975012,2.844372809
1993:04,3.500823026,3.201141999,3.34342887,3.398723105,3.3310348,2.844372809,1.577275689,1.799303336,3.790272211,2.650421534,5.870052943
1994:01,3.215514132,2.8777639,2.690345531,3.064217587,2.855036904,5.870052943,2.844372809,1.577275689,1.799303336,3.790272211,2.581260437
1994:02,3.701172616,3.255682386,2.487114517,2.900956757,2.641772824,2.581260437,5.870052943,2.844372809,1.577275689,1.799303336,3.70748828
1994:03,2.599973647,3.087693428,2.650694309,2.981914368,2.987450495,3.70748828,2.581260437,5.870052943,2.844372809,1.577275689,3.438203352
1994:04,3.20003713,2.588945106,2.82705501,3.062412101,2.746093655,3.438203352,3.70748828,2.581260437,5.870052943,2.844372809,4.53190959
1995:01,3.000002628,2.800353063,2.408829164,2.507973817,2.408940986,4.53190959,3.438203352,3.70748828,2.581260437,5.870052943,2.819269598
1995:02,1.758652467,2.671211033,2.382161081,2.351252956,2.334521224,2.819269598,4.53190959,3.438203352,3.70748828,2.581260437,0.527539017
1995:03,2.080262671,2.279215383,2.227261187,2.49416113,2.549167389,0.527539017,2.819269598,4.53190959,3.438203352,3.70748828,4.204813608
1995:04,2.299992337,2.762414583,2.789888294,2.120902396,2.419511584,4.204813608,0.527539017,2.819269598,4.53190959,3.438203352,#N/A
1996:01,1.301775612,2.628724726,2.781472803,2.741221093,2.67770602,#N/A,4.204813608,0.527539017,2.819269598,4.53190959,2.809316402
1996:02,2.927431075,2.06291434,2.452528033,2.662237565,2.31521699,2.809316402,#N/A,4.204813608,0.527539017,2.819269598,4.221186138
1996:03,2.542367252,2.289143526,2.377334968,2.581919822,2.578291428,4.221186138,2.809316402,#N/A,4.204813608,0.527539017,2.170479478
1996:04,2.100006745,2.367579968,1.864751672,2.381127432,2.332909748,2.170479478,4.221186138,2.809316402,#N/A,4.204813608,4.717212086
1997:01,2.238649494,2.445495547,2.076500665,2.136726352,2.733969598,4.717212086,2.170479478,4.221186138,2.809316402,#N/A,5.611032213
1997:02,2.477022025,2.365901044,2.07068199,1.897725842,1.883488992,5.611032213,4.717212086,2.170479478,4.221186138,2.809316402,2.163326979
1997:03,2.562178017,2.502618086,2.022805551,2.008133202,1.79369653,2.163326979,5.611032213,4.717212086,2.170479478,4.221186138,3.520602335
1997:04,2.654169258,2.812768057,2.312406516,2.37613684,2.273656395,3.520602335,2.163326979,5.611032213,4.717212086,2.170479478,4.298256515
1998:01,2.517141595,2.49927204,2.567550143,2.125275329,2.096759922,4.298256515,3.520602335,2.163326979,5.611032213,4.717212086,4.241671117
1998:02,2.436302895,1.853041803,2.411358639,2.360957528,1.870677566,4.241671117,4.298256515,3.520602335,2.163326979,5.611032213,1.416765252
1998:03,2.098818526,2.127736526,2.051004961,2.314343748,2.008508144,1.416765252,4.241671117,4.298256515,3.520602335,2.163326979,3.28839653
1998:04,2.445553788,3.062442681,2.289264945,2.48261892,2.157463179,3.28839653,1.416765252,4.241671117,4.298256515,3.520602335,5.584777765
1999:01,3.000003171,1.67771142,2.281019363,2.289995534,2.609504125,5.584777765,3.28839653,1.416765252,4.241671117,4.298256515,4.491725084
1999:02,3.200031048,2.666965698,1.678659133,2.057602625,2.270391435,4.491725084,5.584777765,3.28839653,1.416765252,4.241671117,2.287523215
1999:03,3.300105143,2.785895194,1.930272651,2.068310286,2.499978638,2.287523215,4.491725084,5.584777765,3.28839653,1.416765252,4.82367441
1999:04,3.739431663,3.000073448,2.676946782,2.403293684,2.059119904,4.82367441,2.287523215,4.491725084,5.584777765,3.28839653,5.797983396
2000:01,3.160784547,2.254294545,1.901070793,1.833711986,2.400024179,5.797983396,4.82367441,2.287523215,4.491725084,5.584777765,5.390483358
