,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,Realiz1
1987:01,5.475,5.1,5.525,6.3,7.15,5.353333333,5.523333333,6.14,6.896666667,7.166666667,5.536666667
1987:02,5.715,5.37,5.1,5.65,6.52,5.536666667,5.353333333,5.523333333,6.14,6.896666667,5.656666667
1987:03,5.88,5.95,5.55,5.25,5.8,5.656666667,5.536666667,5.353333333,5.523333333,6.14,6.043333333
1987:04,5.9,6,6,5.7,5.5,6.043333333,5.656666667,5.536666667,5.353333333,5.523333333,5.863333333
1988:01,5.775,5.745,6.1,6.175,5.98,5.863333333,6.043333333,5.656666667,5.536666667,5.353333333,5.723333333
1988:02,6.15,5.75,5.76,6.3,6.3,5.723333333,5.863333333,6.043333333,5.656666667,5.536666667,6.21
1988:03,6.95,6.4,5.775,5.95,6.35,6.21,5.723333333,5.863333333,6.043333333,5.656666667,7.01
1988:04,7.5,7.2,6.6,5.925,5.9,7.01,6.21,5.723333333,5.863333333,6.043333333,7.726666667
1989:01,8.45,7.7,7.35,6.63,6.1,7.726666667,7.01,6.21,5.723333333,5.863333333,8.54
1989:02,8.52,8.75,7.65,7.4,6.63,8.54,7.726666667,7.01,6.21,5.723333333,8.41
1989:03,7.9,8.5,8.8,7.6,7.34,8.41,8.54,7.726666667,7.01,6.21,7.843333333
1989:04,7.62,7.9,8.25,8.4,7.625,7.843333333,8.41,8.54,7.726666667,7.01,7.653333333
1990:01,7.715,7.3,7.7,8,8,7.653333333,7.843333333,8.41,8.54,7.726666667,7.76
1990:02,7.8,7.7,7.2,7.5,7.65,7.76,7.653333333,7.843333333,8.41,8.54,7.746666667
1990:03,7.51,7.74,7.66,7.325,7.4,7.746666667,7.76,7.653333333,7.843333333,8.41,7.476666667
1990:04,7.1,7.3,7.645,7.665,7.5,7.476666667,7.746666667,7.76,7.653333333,7.843333333,6.99
1991:01,6.04,6.8,7,7.63,7.8,6.99,7.476666667,7.746666667,7.76,7.653333333,6.023333333
1991:02,5.59,5.8,6.6,6.75,7.625,6.023333333,6.99,7.476666667,7.746666667,7.76,5.56
1991:03,5.49,5.5,5.75,6.62,6.55,5.56,6.023333333,6.99,7.476666667,7.746666667,5.376666667
1991:04,4.8,5.5,5.72,6.02,6.765,5.376666667,5.56,6.023333333,6.99,7.476666667,4.54
1992:01,3.85,4.7,5.7,5.97,6.1685,4.54,5.376666667,5.56,6.023333333,6.99,3.893333333
1992:02,3.75,3.9,4.9,5.91,6.15,3.893333333,4.54,5.376666667,5.56,6.023333333,3.68
1992:03,3.18,3.83,4,5.09,6,3.68,3.893333333,4.54,5.376666667,5.56,3.083333333
1992:04,3,3.2,4.1,4.25,5.2,3.083333333,3.68,3.893333333,4.54,5.376666667,3.07
1993:01,3,3,3.4,4.355,4.5,3.07,3.083333333,3.68,3.893333333,4.54,2.96
1993:02,2.98,3.035,3.2,3.6,4.6,2.96,3.07,3.083333333,3.68,3.893333333,2.966666667
1993:03,3.02,3.08,3.245,3.3,3.83,2.966666667,2.96,3.07,3.083333333,3.68,3.003333333
1993:04,3.08,3.095,3.2,3.495,3.5,3.003333333,2.966666667,2.96,3.07,3.083333333,3.06
1994:01,3.2,3.1,3.25,3.35,3.65,3.06,3.003333333,2.966666667,2.96,3.07,3.243333333
1994:02,3.95,3.4,3.2,3.3,3.475,3.243333333,3.06,3.003333333,2.966666667,2.96,3.986666667
1994:03,4.45,4.2,3.55,3.4,3.5,3.986666667,3.243333333,3.06,3.003333333,2.966666667,4.476666667
1994:04,5.2,4.7,4.36,3.69,3.55,4.476666667,3.986666667,3.243333333,3.06,3.003333333,5.28
1995:01,5.9,5.725,4.76,4.5,3.7,5.28,4.476666667,3.986666667,3.243333333,3.06,5.736666667
1995:02,5.75,6.255,6.01,4.8,4.55,5.736666667,5.28,4.476666667,3.986666667,3.243333333,5.596666667
1995:03,5.475,5.8,6.34,6,4.8,5.596666667,5.736666667,5.28,4.476666667,3.986666667,5.366666667
1995:04,5.35,5.5,5.905,6.225,5.95,5.366666667,5.596666667,5.736666667,5.28,4.476666667,5.26
1996:01,4.935,5.2,5.5,5.95,6.01,5.26,5.366666667,5.596666667,5.736666667,5.28,4.93
1996:02,5,4.78,5.12,5.53,6,4.93,5.26,5.366666667,5.596666667,5.736666667,5.02
1996:03,5.12,5.09,4.7,5.1,5.505,5.02,4.93,5.26,5.366666667,5.596666667,5.096666667
1996:04,5.04,5.2,5.1,4.71,5.1,5.096666667,5.02,4.93,5.26,5.366666667,4.976666667
1997:01,5.04,5.15,5.275,5.07,4.78,4.976666667,5.096666667,5.02,4.93,5.26,5.06
1997:02,5.26,5.07,5.2,5.25,5,5.06,4.976666667,5.096666667,5.02,4.93,5.046666667
1997:03,5.1,5.47,5.08,5.2,5.225,5.046666667,5.06,4.976666667,5.096666667,5.02,5.046666667
1997:04,5.1,5.25,5.5,5.05,5.1,5.046666667,5.046666667,5.06,4.976666667,5.096666667,5.09
1998:01,5.1,5.2,5.37,5.5,5.01,5.09,5.046666667,5.046666667,5.06,4.976666667,5.053333333
1998:02,5.07,5.1,5.26,5.25,5.4,5.053333333,5.09,5.046666667,5.046666667,5.06,4.976666667
1998:03,5,5.09,5.09,5.275,5.19,4.976666667,5.053333333,5.09,5.046666667,5.046666667,4.823333333
1998:04,4.265,5.005,5.175,5.1,5.24,4.823333333,4.976666667,5.053333333,5.09,5.046666667,4.253333333
1999:01,4.395,4.2,5.05,5.18,5.1,4.253333333,4.823333333,4.976666667,5.053333333,5.09,4.406666667
1999:02,4.475,4.4,4.11,5.1,5.13,4.406666667,4.253333333,4.823333333,4.976666667,5.053333333,4.453333333
1999:03,4.71,4.5,4.415,4.2,5.16,4.453333333,4.406666667,4.253333333,4.823333333,4.976666667,4.65
1999:04,4.9,4.9,4.5,4.39,4.16,4.65,4.453333333,4.406666667,4.253333333,4.823333333,5.043333333
2000:01,5.5,5.05,4.9,4.55,4.405,5.043333333,4.65,4.453333333,4.406666667,4.253333333,5.52
2000:02,5.9,5.725,5.08,4.9,4.57,5.52,5.043333333,4.65,4.453333333,4.406666667,5.713333333
2000:03,6,6.2,5.8,5.1,4.93,5.713333333,5.52,5.043333333,4.65,4.453333333,6.016666667
2000:04,6.14,6.045,6.4,5.8,5.12,6.016666667,5.713333333,5.52,5.043333333,4.65,6.016666667
2001:01,5.1,6.05,6,6.35,5.73,6.016666667,6.016666667,5.713333333,5.52,5.043333333,4.816666667
2001:02,3.8,4.75,6.07,6,6.225,4.816666667,6.016666667,6.016666667,5.713333333,5.52,3.66
2001:03,3.4,3.53,4.69,6,5.9,3.66,4.816666667,6.016666667,6.016666667,5.713333333,3.17
2001:04,1.93,3.3,3.6,4.7,6,3.17,3.66,4.816666667,6.016666667,6.016666667,1.906666667
2002:01,1.7,1.75,3.3,3.71,4.77,1.906666667,3.17,3.66,4.816666667,6.016666667,1.72
2002:02,1.775,1.8,1.95,3.5,3.8,1.72,1.906666667,3.17,3.66,4.816666667,1.713333333
2002:03,1.7,1.995,2.1,2.375,3.66,1.713333333,1.72,1.906666667,3.17,3.66,1.643333333
2002:04,1.4,1.7,2.325,2.45,3.105,1.643333333,1.713333333,1.72,1.906666667,3.17,1.333333333
2003:01,1.2,1.3,1.9,2.73,2.955,1.333333333,1.643333333,1.713333333,1.72,1.906666667,1.156666667
2003:02,1.17,1.25,1.41,2.28,3.3,1.156666667,1.333333333,1.643333333,1.713333333,1.72,1.04
