,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,Realiz1
1987:01,6.8,7,6.95,6.7,6.7,6.833333333,6.9,7.166666667,7.066666667,7,6.666666667
1987:02,6.55,6.8,6.9,6.9,6.7,6.666666667,6.833333333,6.9,7.166666667,7.066666667,6.233333333
1987:03,6.1,6.5,6.7,6.85,6.8,6.233333333,6.666666667,6.833333333,6.9,7.166666667,5.966666667
1987:04,6,6.1,6.5,6.7,6.8,5.966666667,6.233333333,6.666666667,6.833333333,6.9,5.9
1988:01,5.9,6.1,6,6.45,6.7,5.9,5.966666667,6.233333333,6.666666667,6.833333333,5.7
1988:02,5.5,6,6.2,5.95,6.5,5.7,5.9,5.966666667,6.233333333,6.666666667,5.433333333
1988:03,5.4,5.5,6.05,6.2,5.9,5.433333333,5.7,5.9,5.966666667,6.233333333,5.466666667
1988:04,5.4,5.4,5.5,6.05,6.2,5.466666667,5.433333333,5.7,5.9,5.966666667,5.333333333
1989:01,5.3,5.4,5.5,5.5,6.05,5.333333333,5.466666667,5.433333333,5.7,5.9,5.166666667
1989:02,5.3,5.4,5.5,5.6,5.5,5.166666667,5.333333333,5.466666667,5.433333333,5.7,5.266666667
1989:03,5.3,5.4,5.5,5.5,5.7,5.266666667,5.166666667,5.333333333,5.466666667,5.433333333,5.233333333
1989:04,5.4,5.4,5.5,5.6,5.5,5.233333333,5.266666667,5.166666667,5.333333333,5.466666667,5.3
1990:01,5.4,5.5,5.4,5.6,5.65,5.3,5.233333333,5.266666667,5.166666667,5.333333333,5.266666667
1990:02,5.3,5.5,5.6,5.5,5.65,5.266666667,5.3,5.233333333,5.266666667,5.166666667,5.3
1990:03,5.5,5.4,5.55,5.6,5.4,5.3,5.266666667,5.3,5.233333333,5.266666667,5.6
1990:04,5.85,5.6,5.4,5.55,5.6,5.6,5.3,5.266666667,5.3,5.233333333,5.9
1991:01,6.3,6.3,5.9,5.4,5.55,5.9,5.6,5.3,5.266666667,5.3,6.5
1991:02,6.8,6.7,6.45,5.9,5.5,6.5,5.9,5.6,5.3,5.266666667,6.833333333
1991:03,6.9,6.93,6.9,6.7,5.9,6.833333333,6.5,5.9,5.6,5.3,6.766666667
1991:04,6.9,6.8,6.8,6.8,6.55,6.766666667,6.833333333,6.5,5.9,5.6,6.966666667
1992:01,7.1,6.8,6.6,6.7,6.7,6.966666667,6.766666667,6.833333333,6.5,5.9,7.233333333
