,SPFfor_Step1,SPFfor_Step2,SPFfor_Step3,SPFfor_Step4,SPFfor_Step5,IARfor_Step1,IARfor_Step2,IARfor_Step3,IARfor_Step4,IARfor_Step5,NCfor_Step1,NCfor_Step2,NCfor_Step3,NCfor_Step4,NCfor_Step5,DARfor_Step1,DARfor_Step2,DARfor_Step3,DARfor_Step4,DARfor_Step5,DARMfor_Step1,DARMfor_Step2,DARMfor_Step3,DARMfor_Step4,DARMfor_Step5,Realiz1,Realiz2,Realiz3,Realiz4,Realiz5
1968:04,#N/A,#N/A,#N/A,#N/A,#N/A,4.590086784,6.457324614,5.648104993,5.000970347,5.462186776,5.196666667,5.52,5.05,4.753333333,4.3,4.590086784,6.351722054,4.592281836,4.96592373,5.390255779,5.254482976,4.633688336,5.181023959,5.000049097,5.359197819,5.586666667,5.586666667,5.586666667,5.586666667,5.586666667
1969:01,#N/A,#N/A,#N/A,#N/A,#N/A,5.882240449,4.262169922,6.039197889,5.414773603,4.679838683,5.586666667,5.196666667,5.52,5.05,4.753333333,5.882240449,4.314796173,6.152369699,4.499578857,4.947569284,6.355307954,5.412610457,4.44493408,6.029223255,4.899390202,6.093333333,6.093333333,6.093333333,6.093333333,6.093333333
1969:02,#N/A,#N/A,#N/A,#N/A,#N/A,6.173203067,5.857707459,4.334080304,5.712127133,5.031989893,6.093333333,5.586666667,5.196666667,5.52,5.05,6.173203067,5.736965521,4.334827914,5.823756891,5.11721422,6.00069118,6.332512472,5.414168218,4.196930868,4.746407756,6.196666667,6.196666667,6.196666667,6.196666667,6.196666667
1969:03,#N/A,#N/A,#N/A,#N/A,#N/A,6.014310219,5.997072919,5.709652105,4.363205392,5.777478034,6.196666667,6.093333333,5.586666667,5.196666667,5.52,6.014310219,5.970628457,5.424300135,4.307724889,4.701298166,7.132845405,6.009947978,5.888161454,5.107856625,4.242587937,7.023333333,7.023333333,7.023333333,7.023333333,7.023333333
1969:04,#N/A,#N/A,#N/A,#N/A,#N/A,7.424410115,5.860211677,5.864925027,5.623219759,4.400717799,7.023333333,6.196666667,6.093333333,5.586666667,5.196666667,7.424410115,5.769980572,5.795076108,5.445441404,4.420369846,6.955295921,7.381584865,6.057887119,6.081710662,5.117065887,7.353333333,7.353333333,7.353333333,7.353333333,7.353333333
1970:01,#N/A,#N/A,#N/A,#N/A,#N/A,7.230210167,7.3538079,5.83772231,5.856589718,5.615854562,7.353333333,7.023333333,6.196666667,6.093333333,5.586666667,7.230210167,7.154189328,5.720593362,5.814343426,5.515575659,7.6844355,6.731253487,7.003725731,5.591381258,6.011824787,7.21,7.21,7.21,7.21,7.21
1970:02,#N/A,#N/A,#N/A,#N/A,#N/A,7.062734475,7.09063112,7.230677062,5.868101112,5.892181743,7.21,7.353333333,7.023333333,6.196666667,6.093333333,7.062734475,7.141640492,7.417947577,5.735658493,6.020962662,6.495786366,7.541844681,7.200411445,6.725004039,5.716006246,6.676666667,6.676666667,6.676666667,6.676666667,6.676666667
1970:03,#N/A,#N/A,#N/A,#N/A,#N/A,6.485743392,7.095643154,7.116968765,7.263770526,5.87095827,6.676666667,7.21,7.353333333,7.023333333,6.196666667,6.485743392,7.09424715,7.043052234,7.169805525,5.815355422,6.194223632,6.633148311,7.235403576,7.046458548,7.386474138,6.326666667,6.326666667,6.326666667,6.326666667,6.326666667
1970:04,#N/A,#N/A,#N/A,#N/A,#N/A,6.367800323,6.608914304,7.211478426,7.224651857,7.387685136,6.326666667,6.676666667,7.21,7.353333333,7.023333333,6.367800323,6.778890953,7.146585687,6.914161975,7.348786353,5.87644868,6.032038772,7.235447221,7.274349196,7.104947443,5.353333333,5.353333333,5.353333333,5.353333333,5.353333333
1971:01,#N/A,#N/A,#N/A,#N/A,#N/A,4.938963933,6.524938976,6.747001784,7.294959017,7.305079542,5.353333333,6.326666667,6.676666667,7.21,7.353333333,4.938963933,6.385691288,7.010706008,7.124818812,7.163156777,4.11215069,5.693948154,6.08103154,7.392969898,7.381144687,3.84,3.84,3.84,3.84,3.84
